Easting,Northing
391382.28,6466417.1
391384.34,6466428
391382.72,6466438.1
391378.08,6466447
391374.4,6466455.2
391371.95,6466463.7
391373.09,6466471.8
391373.18,6466481
391371.04,6466486.6
391374.02,6466490.9
391374.22,6466499
391371.55,6466501.3
391364.56,6466501.2
391352.27,6466500.4
391347.66,6466498.2
391347.31,6466495.8
391344.3,6466494.4
391340.53,6466493.1
391339.12,6466483.5
391337.44,6466472.6
391337.06,6466463.7
391337.62,6466455.8
391344.15,6466446.5
391348.71,6466443.9
391350.37,6466439.1
391350.15,6466433.5
391358.99,6466428.3
391371.07,6466422.2
391382.28,6466417.1
