"Sample_ID","Easting","Northing","adjusted.Easting","adjusted.Northing","Depth.upper","Depth.lower","pH","EC","Micro..plastics.fibres","Micro..plastics.beads","Micro..plastics.fragments","Micro..plastics.other","Micro..plastics.Total","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","Rb","S","Sc","Sr","Th","Ti","V","Y","Zn","Longitude","Latitude","Zone"
"Group 1",400470,6468259,400470,6468259,0,10,4.77,"5.08",8000,3500,2500,NA,14000,35340,6.52,80.2,1376,NA,76.4,4.95,52.7,36.9,47040,16.8,2.73,3958,33.6,24.1,3221,57.3,3.09,10449,34,14.4,315,24.1,NA,3371,9.13,100.6,14.2,243,64,11.5,16.6,115.947245924063,-31.9171958528113,"North"
"Group 2",400509,6468190,400509,6468190,0,10,4.95,"19.08",19500,25000,4000,0,48500,36380,9.24,89.1,1846,NA,131.7,6.87,54,39.4,41905,15.6,5.28,3769,60.5,28.4,5120,93.6,1.3,29175,54.9,20.1,366,22.5,12.7,3871,8.27,95.2,16.3,243,63.8,29,34.9,115.947651290588,-31.9178216778458,"North"
"Group 3",400419,6468324,NA,6468324,0,10,6.34,"135.3mS",12000,8500,14000,NA,34500,10714,16.51,27.1,689,0.151,21.4,6.52,16.5,128.7,41561,10,2.01,552,10.8,5.6,543,85.6,2.63,474,9.1,6.6,970,82.4,6.9,467,1.7,12,5.3,225,24.8,3.2,126.1,115.946713243917,-31.9166050560679,"North"
"Group 4",400306,6468198,400306,6468198,0,10,6.46,"6.86",3295,1098,NA,NA,4394,41793,7.73,76.3,2774,0.037,115.8,11.61,62.6,247.5,46288,18.6,6.59,4077,56.4,33.3,5797,86.3,1.56,25631,41.8,27,985,83.1,83.8,2923,9.5,63.7,20.8,280,70.5,24.7,243.7,115.945505227559,-31.9177317129312,"SM"
"Group 5",400292,6468133,NA,NA,0,10,5.96,"6.89",1000,3500,1000,NA,5500,53768,9.39,77.5,1914,0.041,125.5,9.79,63.4,251.3,53143,22,5.35,4137,53.9,63.5,4503,66.2,4.08,15965,50.3,23.7,842,93.7,19.7,2489,9.93,52.6,19.5,241,76.7,28.7,212.4,115.945350475867,-31.918316809687,"SM"
"Group 6",400159,6468062,400159,6468062,0,10,6.46,"6.86ms",3500,4500,0,0,8000,29413,35.89,110.7,3030,0.312,47.7,14.8,43.7,593.3,73141,21.8,2.03,3610,25.2,33.5,5172,58.9,6.38,22519,19.6,16.4,2523,181.9,NA,9769,5.89,328.7,12.6,190,63.7,10.3,315.8,115.943936570109,-31.9189455727699,"Lower"
"Group 7",400336,6468051,400336,6468051,0,10,6.36,"8.5 mS",4,1,0,0,5,38117,3.92,82.6,2227,NA,121,18.65,65.7,53,35910,15.7,3.1,4784,61.6,43.9,5203,381.9,0.73,21182,45.9,27.4,377,31.3,NA,2299,10.43,53.7,22.3,329,73.5,28.3,95.3,115.945807376054,-31.9190603444609,"SM"
"Group 8",400391,6468034,400391,6468034,0,10,5.7,"7.65mS",7500,833,833,NA,9166,42425,3.82,84.3,2475,NA,153,17.66,71.1,54.4,39243,17.2,4.03,5236,76.4,56.4,5285,287.9,1.01,20212,56.3,30.9,425,34.2,NA,2238,11.21,60.7,23.5,376,79.8,38.4,93,115.946387304306,-31.919218516725,"SM"
"Group 9",400010,6467963,400010,6467963,0,10,6.22,"21.34mS",1829,0,333,0,2161,26617,23.4,47.1,5509,0.027,52.4,25.8,39.4,297.1,69710,21.3,2.01,3609,28.9,34.9,7111,206.6,2.09,35105,21.7,19,1849,115.6,NA,5627,4.91,116.7,8.5,146,72.1,13.1,644.5,115.942350539173,-31.9198254817643,"South"
"Group 10",400028,6467967,400028,6467967,0,10,NA,"",NA,NA,NA,NA,NA,37114,28.54,64.3,7033,0.315,74.1,30.08,61.7,415.7,76422,24.1,3.14,2998,39.2,57.3,5735,140.9,5.7,16677,27.1,38,2796,692.7,NA,17294,6.36,108.7,13.1,228,80.5,18.6,832.4,115.942541320241,-31.9197909849786,"South"
"Group 10 repeat",400112,6468035,NA,NA,0,10,NA,"",NA,NA,NA,NA,NA,36951,28.45,64.3,7064,0.244,74.9,30.34,61.6,420.9,76892,24.3,3,3042,39.4,57.6,5764,141.1,5.67,16640,27.8,38.7,2802,687.8,NA,17330,6.4,107.6,13.4,227,80.7,18.7,786.6,115.943436717734,-31.9191849902751,"Lower"
"Group 11",400113,6468044,400113,6468044,0,10,6.53,"10.4",2375,0,750,NA,3125,28524,21.16,43.5,6459,0.119,50.9,12.43,46,435.5,48864,17.4,2.08,3527,25.9,39.4,6549,94.8,3.16,24859,19.6,17.6,1459,192,NA,7965,6,103.7,11.7,155,66.2,11.6,517.7,115.943448221801,-31.9191038947254,"Lower"
