"Longitude","Latitude","Easting","Northing","Name","Type","Usage"
115.8211,-31.9822,388624.5,6460930,"Matilda Bay","Cafe",10
115.8186,-31.98303,388387.9,6460836,"Barry Marshall","Library",10
115.8186,-31.98265,388383.5,6460878,"Science","Cafe",8
115.8189,-31.98109,388415.6,6461051,"Guild","Cafe",4
115.8178,-31.979,388308.3,6461282,"Reid","Library",2
115.8183,-31.9765,388354.6,6461559,"Hackett","Cafe",7
115.8209,-31.986,388603.9,6460509,"Business","Cafe",1
115.8204,-31.97688,388551.3,6461519,"Music","Library",0.1
115.8199,-31.97971,388501.3,6461205,"Law","Library",0.1
115.8194,-31.97638,388452.6,6461574,"Rec Centre","Cafe",1
115.8198,-31.97834,388493.5,6461357,"UniClub","Cafe",2
115.8181,-31.97872,388334,6461313,"Reid","Cafe",4
