"Easting","Northing","Longitude","Latitude"
391055.16,6466753.4,115.847509878127,-31.9299124210561
391054.07,6466721.9,115.847494804474,-31.9301964490275
391062.27,6466666.2,115.847575266763,-31.9306996545284
391082.48,6466609.6,115.84778265805,-31.9312121304836
391082.53,6466603.1,115.847782455557,-31.9312707658087
391180.36,6466600.3,115.848816887287,-31.9313054048659
391182.41,6466609,115.848839548095,-31.9312271266554
391226.41,6466610.1,115.84930505895,-31.9312214217411
391226.01,6466584.8,115.849297985286,-31.9314495915825
391242.58,6466584.3,115.849473190158,-31.9314556893548
391244.54,6466539,115.849488831683,-31.9318644870402
391311.58,6466539.2,115.850197940175,-31.9318691042815
391414.13,6466542.5,115.85128298817,-31.9318491528184
391412.14,6466584.8,115.851266684862,-31.931467412573
391428.6,6466584.2,115.851440715298,-31.9314743991209
391426.52,6466627.9,115.851423616447,-31.9310800221215
391370.11,6466628.5,115.850827036714,-31.931069213116
391372.24,6466686.6,115.850856085209,-31.9305453496347
391411.03,6466687.5,115.851266464593,-31.930540942884
391413.67,6466754.6,115.851301914017,-31.9299359471349
391406.51,6466763.4,115.851227170934,-31.9298558853889
391061.62,6466759.1,115.847578845838,-31.9298616265442
391055.16,6466753.4,115.847509878127,-31.9299124210561
