"Variable","W_orig","p_orig","W_log_tr","p_log_tr","W_pow_tr","p_pow_tr","Pow_term"
"pH","0.9766","0.08979","0.9474","0.0008693","0.9867","0.4612","2.002"
"EC","0.76","1.274e-08","0.9823","0.5219","0.9824","0.5283","-0.01806"
"Al","0.8511","6.021e-08","0.8958","3.289e-06","0.9365","0.0003185","0.4553"
"As","0.143","2.892e-20","0.7882","6.415e-10","0.9269","9.749e-05","-0.4294"
"Ba","0.8951","3.067e-06","0.9885","0.6358","0.9885","0.6373","-0.007109"
"Ca","0.5646","9.559e-15","0.9585","0.006584","0.9763","0.1073","-0.1945"
"Cd","0.63","1.528e-12","0.9727","0.1006","0.9788","0.2345","-0.1594"
"Ce","0.8913","2.368e-06","0.985","0.4128","0.987","0.5425","0.1248"
"Cr","0.8176","4.732e-09","0.9192","3.96e-05","0.9406","0.0005403","0.348"
"Cu","0.5644","9.465e-15","0.9318","0.0001761","0.9867","0.5128","-0.5011"
"Fe","0.2707","7.295e-19","0.8549","8.176e-08","0.948","0.001465","-0.4639"
"Gd","0.6443","4.034e-13","0.9495","0.00207","0.9802","0.2102","-0.4718"
"K","0.8554","8.542e-08","0.9911","0.8206","0.9915","0.8426","-0.0517"
"La","0.7681","1.814e-10","0.969","0.03308","0.9889","0.6618","-0.4369"
"Mg","0.6524","4.011e-13","0.9853","0.4248","0.986","0.4653","-0.0477"
"Mn","0.9272","0.0001014","0.9602","0.008538","0.9936","0.9489","0.3702"
"Mo","0.1319","2.222e-20","0.8012","1.514e-09","0.9471","0.001283","-0.3986"
"Na","0.3949","2.606e-17","0.9437","0.0008182","0.9881","0.6041","-0.3711"
"Nd","0.7408","6.027e-11","0.8226","1.038e-08","0.9182","4.772e-05","0.4521"
"Ni","0.5497","5.354e-15","0.9732","0.06437","0.9764","0.1083","-0.07573"
"P","0.9036","7.254e-06","0.9796","0.1789","0.9932","0.9326","0.2506"
"Pb","0.6184","8.783e-14","0.9517","0.002464","0.9854","0.4297","-0.2961"
"S","0.1364","2.473e-20","0.8212","6.144e-09","0.962","0.0112","-0.4024"
"Sr","0.4609","2.194e-16","0.9523","0.002664","0.9822","0.2688","-0.2506"
"Th","0.8023","2.339e-08","0.9431","0.002948","0.9695","0.08177","-0.6177"
"V","0.5028","9.405e-16","0.9073","1.074e-05","0.9168","3.034e-05","-0.1409"
"Y","0.5532","6.128e-15","0.9579","0.006028","0.9829","0.2984","-0.3309"
"Zn","0.6155","7.75e-14","0.9828","0.295","0.9915","0.8421","-0.1493"
